year_BP,enso_pca
1924.5,-3.600175
1928,-3.223096
1932,-3.014427
1934,-2.598762
1937,-2.46198
1939,-2.745521
1942,-3.086743
1944,-2.980155
1948,-3.014421
1950.5,-2.882161
1954,-2.779929
1958,-2.702077
1962,-2.693608
1965.5,-2.531047
1969,-2.583774
1972,-2.451109
1977.5,-1.941437
1979.5,-1.773901
1983,-1.577448
1987,-1.763468
1989.5,-2.25958
1993,-2.882369
1996,-2.867778
2000,-1.735537
2003,-1.28131
2006,-0.683452
2009.5,-2.044487
2013,-3.423964
2017,-3.129463
2021,-2.565244
2023,-2.233109
2027,-1.932961
2029,-2.112677
2031,-2.092193
2034,-1.608576
2038,-1.634531
2041,-2.833383
2043,-3.520554
2047,-3.444593
2050,-3.360265
2053,-3.17269
2056.5,-2.913607
2059.5,-3.149341
2062,-2.737635
2064,-3.105249
2067,-4.281746
2071,-3.942541
2074,-5.027948
2076,-4.903827
2079,-5.921829
2083,-5.65922
2086,-5.90408
2090,-5.8168
2092,-6.115018
2095,-6.131425
2098,-5.608266
2101,-4.988344
2104,-4.59704
2106.5,-4.304881
2109,-4.58579
2113,-4.522917
2115,-4.172453
2119,-3.659278
2121,-2.112968
2124,0.741104
2127,2.476365
2130,2.860055
2133,2.818632
2135,3.540014
2138.5,3.977851
2141.5,3.939386
2145,3.847718
2148,1.421668
2151.5,-2.037618
2155,-4.18189
2158.5,-3.628799
2160.5,-1.506614
2164,-0.334156
2167,-0.659024
2168,-1.34552
2171,-2.786105
2173,-3.362407
2176,-2.441126
2179,-0.484834
2182,-0.540938
2185,-3.006574
2188,-3.186531
2191.5,-3.327483
2195,-2.839742
2197,-1.679223
2199.5,-2.903299
2203,-3.643598
2205,-1.843339
2210,0.731704
2212,-3.566555
2214,-4.572438
2217,-5.077971
2220.5,-4.981812
2224,-4.504732
2227,-4.729889
2231,-3.335686
2234,-0.657455
2237,2.422315
2240,4.056183
2242.5,1.613131
2245.5,-3.374597
2249,-3.445487
2251,-2.149956
2253.5,-2.200361
2256,-1.623417
2259,-1.805685
2262,-1.482704
2265,-1.890786
2267,-2.277607
2272,-3.171014
2275,-3.465011
2277,-2.970563
2279.5,-2.459191
2283,-2.116809
2287,-2.845392
2292,-3.062727
2295,-2.706293
2298,-1.928941
2302,-1.038865
2305,-0.414001
2307,-0.579004
2311,-0.677134
2313,-0.596098
2315.5,-2.426601
2318,-3.657336
2321.5,-3.484595
2325,-3.033143
2329,-2.788451
2331,-1.330033
2334,0.059834
2337,2.167475
2340.5,3.157705
2343,0.41568
2347,-2.618478
2349,-3.173599
2352,-2.915363
2355,-2.656972
2357,-2.493815
2360,-2.270665
2364,-2.8504
2367,-2.819257
2371,-3.011176
2373,-3.06824
2376,-2.547766
2379.5,-2.237213
2383.5,-2.47514
2385,-3.269259
2388.5,-3.567231
2392,-3.831628
2394,-4.023244
2396.5,-2.961176
2400,-3.082612
2403,-3.317978
2406,-3.03845
2408,-2.453677
2411,-2.302748
2414,-2.752611
2418.5,-1.632769
2421.5,-0.281474
2424.5,-1.090003
2427.5,-2.409772
2431,-2.967669
2434,-2.048925
2437,-0.998043
2441.5,-0.726061
2446,-1.589355
2451,-1.987181
2457.5,-1.604263
2465,0.302596
2468.5,0.479805
2474,-2.157882
2478,-1.984114
2483,-1.558006
2488,-1.468697
2492,0.467031
2495.5,2.6929
2499,0.288847
2502,-0.569889
2507,2.561904
2511,4.296287
2515,-0.051836
2522,-2.009892
2527,-1.284741
2531,1.933945
2536,2.112569
2540,3.372138
2545,4.12585
2549.5,2.21085
2554.5,0.349756
2557,-0.985818
2561,-1.701418
2565,-0.95602
2569,1.8474
2571,0.459647
2574,0.149581
2578,3.047063
2581,1.406276
2584,0.09843
2586,1.503191
2588,-1.077359
2590.5,-1.086512
2593,-0.8654
2596,1.479543
2598,-0.386406
2601,-2.07806
